ཀ་བཀོལ་མ,ཀ་ཁོལ་མ་
ཀ་ཅོག་ཞང་གསུམ,སྐ་ཅོག་ཞང་གསུམ་
ཀ་ཆ,ཀ་ཅ་
ཀ་ནི་ཤཀ,ཀ་ནི་ཀ་
ཀ་པེད,ཀ་བེད་
ཀ་བ,ཕྱིའི་དབྱིབས་ཀ་བ་
ཀ་བེད,སྟོད་ནས་བྱུང་བའི་ཤིང་ཏོག་བིལ་བ་མོ་འདིའི་དབྱིབས་བུམ་པ་
ཀཱ་ཏྱཱ་ཡ་ན,ཀ་ཏྱའི་བུ་
ཀག,དུས་ངེས་ཅན་གྱི་བར་ཆད་ཀྱི་དོན་དུ་གོ་བའི་སྐག་
ཀརྣི་སྒོ་བཞི,ཀཀནི་སྒོ་བཞི་
ཀིང་ཤུ་ཀ,ཀེང་ཤུ་ཀ་
ཀུ་མུ་ད,ཀུ་མུད་
ཀུ་མུཏ,ཀུ་མུད་
ཀུ་རུ་ཀུ་ལླེ,ཀུ་རུ་ཀུ་ལེ་
ཀུ་ཤ་ལི,ཀུ་སཱ་ལི་
ཀུན་བརྟགས་ཀྱི་མ་རིག་པ,གྲུབ་མཐའ་ངན་པའི་ལྟ་བ་ཉོན་མོངས་པ་
ཀེ་རྩེ,ཀེའུ་ཙེ་
ཀེཨེ་ལ་ཤ,ཀེ་ལ་ཤ་
ཀེའུ་རྩེ,ཀེའུ་ཙེ་
ཀོ,དགར་དང་བརྣན་པའི་ནི་སྒྲའི་འཇུག་ཚུལ་
ཀོ་ཀོ,ཀོས་ཀོ་
ཀོ་སྐོ,ཀོས་ཀོ་
ཀོ་ཅི,ལྷག་བཅས་སྟེ་སོགས་ཀྱི་སྒྲའི་འཇུག་ཚུལ་
ཀོ་བྱིལ,ཀོ་བྱི་ལ་
ཀོ་ཙེ,སྐོ་ཙེ་
ཀོཨོ་ཤི་ཧན,གུ་ཤི་ཧན་
ཀོག་ཚེ,ཀོག་ཙེ་
ཀོལ་མ,བསྐོལ་མ་
ཀོས་སྐོ,ཀོས་ཀོ་
ཀཱ,རང་
ཀྱལ་རྟ,ཀྱལ་ཏ་
ཀྱུ་རུ་ར,སྐྱུ་རུ་ར་
ཀྱེ་མ་ཀྱེ་ཧུད,ཀྱེ་མ་ཀྱི་ཧུད་
ཀྱེ་ཧུད,ཀྱི་ཧུད་
